"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";  
06574;08216;01646;13144;00822;13960;00822;13961;
06576;08216;01646;13144;00822;13960;00822;13960;
06542;08176;01638;13080;00823;13895;00823;13897;
06544;08176;01638;13080;00822;13896;00822;13896;
06510;08136;01631;13016;00815;13824;00815;13825;
06511;08136;01630;13016;00814;13824;00814;13824;
06478;08097;01622;12952;00814;13760;00815;13761;
06479;08096;01623;12952;00814;13760;00814;13760;
06446;08056;01614;12888;00806;13688;00806;13688;
06447;08055;01615;12889;00807;13688;00806;13689;
06415;08016;01606;12824;00806;13624;00806;13624;
06415;08015;01606;12825;00806;13624;00806;13624;
06383;07977;01599;12760;00799;13561;00799;13560;
06384;07976;01598;12760;00798;13560;00798;13560;
06350;07944;01590;12704;00798;13496;00798;13496;
06351;07944;01591;12705;00799;13497;00798;13496;
06319;07904;01583;12640;00791;13432;00790;13432;
06319;07904;01582;12640;00790;13432;00790;13432;
06294;07864;01574;12584;00790;13368;00790;13368;
06295;07863;01575;12584;00790;13368;00790;13368;
06263;07832;01567;12520;00783;13304;00783;13305;
06264;07832;01567;12520;00782;13304;00783;13305;
06230;07792;01559;12464;00782;13240;00782;13240;
06231;07792;01558;12464;00782;13240;00782;13240;
06206;07760;01550;12408;00774;13184;00774;13184;
06207;07759;01550;12408;00774;13184;00774;13184;
06174;07720;01543;12352;00774;13120;00774;13120;
06175;07719;01542;12352;00774;13120;00774;13120;
06150;07688;01542;12296;00774;13064;00774;13064;
06151;07687;01542;12296;00774;13064;00774;13064;
06118;07648;01534;12240;00766;13000;00766;13000;
06119;07647;01534;12240;00766;13000;00766;13001;
06094;07616;01526;12184;00766;12944;00766;12944;
06095;07615;01526;12184;00766;12944;00766;12944;
06062;07576;01518;12128;00758;12880;00758;12880;
06063;07575;01519;12128;00759;12880;00758;12881;
06038;07544;01510;12072;00758;12824;00759;12824;
06040;07544;01511;12073;00759;12823;00758;12824;
06007;07512;01503;12016;00750;12768;00750;12768;
06007;07511;01502;12016;00750;12768;00750;12768;
05982;07480;01494;11960;00750;12712;00750;12712;
05983;07479;01495;11960;00750;12712;00750;12712;
05959;07448;01495;11911;00751;12656;00751;12656;
05959;07448;01494;11912;00751;12656;00750;12656;
