
 *
 *
 *
 XTZ 660 pickup decoder booting ...  
  
"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";"Act";"Act_Pos";"Deact";"Deact_Pos";  
03131;03731;00796;06021;00579;06263;00584;06190;00035;000;00339;007;
03160;03781;00808;06015;00568;06074;00572;05994;00035;000;00335;007;
03073;03663;00780;05907;00570;06141;00575;06070;00036;000;00298;007;
03098;03710;00791;05896;00557;05946;00561;05866;00036;000;00338;007;
03005;03591;00762;05782;00561;06007;00564;05938;00035;000;00167;007;
03034;03634;00770;05750;00544;05779;00550;05703;00035;000;00350;007;
02921;03492;00741;05621;00548;05837;00551;05769;00036;000;00039;007;
02949;03539;00752;05577;00528;05585;00534;05511;00036;000;00365;007;
02826;03372;00711;05436;00534;05635;00534;05571;00036;000;00405;006;
02851;03421;00726;05389;00512;05374;00514;05300;00036;000;00385;007;
02720;03241;00684;05230;00516;05416;00516;05353;00035;000;00183;006;
02736;03297;00699;05195;00499;05166;00499;05100;00035;000;00337;007;
02617;03115;00659;05028;00501;05200;00503;05145;00035;000;00077;006;
02634;03169;00676;04974;00478;04923;00485;04865;00036;000;00213;007;
02497;02977;00630;04793;00483;04962;00483;04912;00035;000;04689;005;
02507;03025;00645;04747;00457;04687;00468;04620;00036;000;00288;006;
02384;02829;00600;04566;00467;04718;00466;04668;00036;000;04354;005;
02399;02867;00611;04527;00445;04473;00451;04425;00035;000;00166;006;
02274;02713;00574;04371;00453;04508;00448;04467;00036;000;04008;005;
02295;02745;00585;04339;00432;04286;00439;04241;00036;000;00027;006;
02188;02597;00554;04189;00438;04329;00435;04275;00036;000;03717;005;
02206;02634;00564;04158;00419;04141;00428;04088;00035;000;04010;005;
02120;02500;00540;04047;00424;04172;00425;04128;00036;000;03413;005;
02125;02546;00553;04028;00407;04018;00418;03974;00036;000;03682;005;
02057;02431;00525;03935;00416;04049;00411;04011;00035;000;03310;005;
02064;02477;00534;03907;00400;03902;00411;03869;00035;000;03594;005;
02006;02352;00514;03829;00406;03934;00400;03896;00035;000;03092;005;
02012;02409;00520;03799;00391;03808;00404;03779;00035;000;03402;005;
